TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
B51173,1,0,1,0,25.86130,0.500000,2.586130,25.86130,0.500000
B51185,1,0,1,0,22.48641,0.500000,2.248641,22.48641,0.500000
B51187,1,0,1,0,13.37730,0.500000,1.337730,13.37730,0.500000
B51191,1,0,1,0,29.83836,0.500000,2.983836,29.83836,0.500000
B51197,1,0,1,0,22.18464,0.500000,2.218464,22.18464,0.500000
B54023,1,0,1,0,13.49930,0.500000,1.349931,13.49930,0.500000
B54031,1,0,1,0,13.86820,0.500000,1.386821,13.86820,0.500000
B54057,1,0,1,0,13.89659,0.500000,1.389659,13.89659,0.500000
B54071,1,0,1,0,13.36910,0.500000,1.336910,13.36910,0.500000
C42009,1,0,1,0,13.50780,0.500000,1.350781,13.50780,0.500000
C51015,1,0,1,0,13.58678,0.500000,1.358678,13.58678,0.500000
C51071,1,0,1,0,13.93624,0.500000,1.393624,13.93624,0.500000
C51165,1,0,1,0,13.51220,0.500000,1.351220,13.51220,0.500000
B51195,1,0,1,0,13.35926,0.500000,1.335926,13.35926,0.500000
end,,,,,,,,,
